STORE_NUMBER,CITY,STATE,POSTAL_CODE
2156,GRAPEVINE,TX,76051
1419,HUNTERSVILLE,NC,28078
2249,WINTER PARK,FL,32792
2513,LAS VEGAS,NV,89129
1754,ARDMORE,OK,73401
949,OXNARD,CA,93033
820,NASHVILLE,TN,37203
1161,AUSTIN,TX,78723-2429
2517,RUTHERFORD,CA,94573
4391,OMAHA,NE,68107
1913,IRVING,TX,75063
4595,CHARLOTTE,NC,28208
1070,ARLINGTON,TX,76002
2734,BRANDON,FL,33511
2786,DALLAS,TX,75231-0242
1247,LONGVIEW,TX,75654
1905,WALLED LAKE,MI,48390
4065,HOUSTON,TX,77025
2154,APPLE VALLEY,CA,92308
4094,SAN ANTONIO,TX,78245
1731,LAVEEN,AZ,85339
4541,MACOMB,MI,48044
4750,OTHER,OT,99999
4915,ATWATER,CA,95301
3989,SAN ANTONIO,TX,78261
822,MIAMI,FL,33125
266,HOUSTON,TX,77011
857,ELSA,TX,78543
1390,AURORA,CO,80013
1765,WAIANAE,HI,96789
2315,DALLAS,TX,75218
4154,FAIR LAWN,NJ,7036
1249,CICERO,IL,60804
400,EL PASO,TX,79905
4970,SCOTTSDALE,AZ,85255
3302,HOUSTON,TX,77047
801,CHARLOTTE,NC,28278
430,LITTLETON,CO,80120